,precision,recall,f1-score,support
0,0.5789473684210527,0.55,0.5641025641025641,20.0
1,0.7333333333333333,0.8461538461538461,0.7857142857142856,13.0
2,0.5833333333333334,0.7777777777777778,0.6666666666666666,27.0
3,0.5185185185185185,0.6666666666666666,0.5833333333333334,21.0
4,0.5882352941176471,0.6666666666666666,0.625,15.0
5,0.7777777777777778,0.6363636363636364,0.7000000000000001,22.0
6,0.8695652173913043,0.8,0.8333333333333333,25.0
7,0.6666666666666666,0.6153846153846154,0.64,13.0
8,0.625,0.43478260869565216,0.5128205128205128,23.0
9,0.5882352941176471,0.47619047619047616,0.5263157894736842,21.0
accuracy,0.645,0.645,0.645,0.645
macro avg,0.652961280367728,0.6469986293899337,0.6437286485444379,200.0
weighted avg,0.6540977419571948,0.645,0.6426108685174475,200.0
