,precision,recall,f1-score,support
0,0.75,0.6,0.6666666666666665,20.0
1,0.8260869565217391,0.95,0.8837209302325583,20.0
2,0.5454545454545454,0.9,0.679245283018868,20.0
3,0.45454545454545453,0.5,0.47619047619047616,20.0
4,0.6086956521739131,0.7,0.6511627906976744,20.0
5,0.8571428571428571,0.6,0.7058823529411764,20.0
6,0.875,0.7,0.7777777777777777,20.0
7,0.8095238095238095,0.85,0.8292682926829269,20.0
8,0.6428571428571429,0.45,0.5294117647058824,20.0
9,0.6666666666666666,0.6,0.631578947368421,20.0
accuracy,0.685,0.685,0.685,0.685
macro avg,0.7035973084886129,0.6849999999999998,0.6830905282282428,200.0
weighted avg,0.7035973084886129,0.685,0.6830905282282427,200.0
