,precision,recall,f1-score,support
0,0.75,0.6,0.6666666666666665,20.0
1,0.8260869565217391,0.95,0.8837209302325583,20.0
2,0.59375,0.95,0.7307692307692308,20.0
3,0.5625,0.45,0.5,20.0
4,0.8125,0.65,0.7222222222222223,20.0
5,0.8666666666666667,0.65,0.7428571428571429,20.0
6,0.8125,0.65,0.7222222222222223,20.0
7,0.6666666666666666,0.8,0.7272727272727272,20.0
8,0.5789473684210527,0.55,0.5641025641025641,20.0
9,0.5652173913043478,0.65,0.6046511627906976,20.0
accuracy,0.69,0.69,0.69,0.69
macro avg,0.7034835049580472,0.69,0.6864484869136033,200.0
weighted avg,0.7034835049580473,0.69,0.6864484869136033,200.0
